price,ram,internal_memory,screen_size,screen_tech,refresh_rate,camera_main_resolution,camera_count,brand,price_category,screen_resolution_k,chip_model
22790000.0,16.0,512,6.8,AMOLED,120.0,50,3,Nubia,Premium,HD,Snapdragon 8 gen 3
41790000.0,6.0,1024,6.7,Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A16 Bionic
21990000.0,6.0,128,6.1,Super Retina XDR OLED,120.0,12,3,Apple,Premium,HD,A15 Bionic
2750000.0,4.0,128,6.5,IPS LCD,60.0,50,2,Realme,Low,HD,Tiger t612 8
3850000.0,8.0,256,6.88,IPS LCD,120.0,13,1,Xiaomi,Medium,HD,Snapdragon 4 gen 2
9550000.0,12.0,128,6.78,LTPO AMOLED,120.0,50,2,Realme,High,HD,Snapdragon 7 gen 3
8150000.0,12.0,256,6.43,Super AMOLED,120.0,64,3,Realme,High,HD,Snapdragon 888
11450000.0,16.0,128,6.78,LTPO4 AMOLED,120.0,50,3,OnePlus,High,HD,Snapdragon 8 gen 2
11550000.0,18.0,512,6.78,AMOLED,165.0,50,3,Asus,High,HD,Snapdragon 8 gen 1
25990000.0,8.0,128,6.7,Dynamic AMOLED,60.0,64,3,Samsung,Premium,HD,Exynos 2100 8
5850000.0,8.0,256,6.67,AMOLED,120.0,108,4,Xiaomi,Medium,HD,Snapdragon 732g
4690000.0,8.0,256,6.72,IPS LCD,120.0,50,2,Nubia,Medium,HD,Unisoc t820
5850000.0,12.0,256,6.5,P-OLED,120.0,50,2,Motorola,Medium,HD,Snapdragon 695
2290000.0,4.0,128,6.56,IPS LCD,90.0,50,1,Infinix,Low,HD,Unisoc t606
2250000.0,3.0,32,6.09,IPS LCD,60.0,8,2,Vsmart,Low,HD,Helio p35
3350000.0,6.0,128,6.53,IPS LCD,60.0,48,3,Xiaomi,Medium,HD,Snapdragon 662
8250000.0,12.0,512,6.83,OLED,120.0,50,3,Realme,High,HD,Snapdragon 7
5150000.0,12.0,512,6.67,IPS LCD,120.0,50,1,Realme,Medium,HD,Dimensity 6300
3250000.0,4.0,128,5.2,Super AMOLED,60.0,12,1,Meizu,Medium,HD,Helio p25
13800000.0,8.0,256,6.3,Dynamic AMOLED FHD+ Infinity-O,60.0,16,3,Samsung,High,HD,Exynos 9825
12950000.0,16.0,1024,6.78,AMOLED,144.0,64,3,Vivo,High,HD,Snapdragon 8 gen 3
11590000.0,4.0,128,6.1,Super Retina XDR OLED,60.0,12,2,Apple,High,HD,A15 Bionic
13650000.0,16.0,1024,6.67,AMOLED,144.0,50,3,Xiaomi,High,HD,Dimensity 9300 plus
11950000.0,18.0,1024,6.8,AMOLED,120.0,64,3,Nubia,High,HD,Snapdragon 8 gen 1
3850000.0,8.0,256,6.67,IPS LCD,120.0,108,1,Tecno,Medium,HD,Dimensity 6300
2300000.0,4.0,64,6.2,IPS LCD,60.0,12,1,Xiaomi,Low,HD,Snapdragon 439
7950000.0,16.0,1024,6.78,LTPO AMOLED,144.0,50,2,Vivo,Medium,HD,Snapdragon 8 gen 3
9450000.0,8.0,256,6.43,AMOLED,90.0,64,3,OPPO,High,HD,Dimensity 900
22950000.0,16.0,1024,6.78,LTPO AMOLED,120.0,200,3,Vivo,Premium,FHD,Snapdragon 8 e
11990000.0,12.0,256,6.67,AMOLED,120.0,108,3,Xiaomi,High,HD,Snapdragon 888
8800000.0,8.0,128,6.4,Dynamic AMOLED 2X,120.0,12,3,Samsung,High,HD,Exynos 2100
8150000.0,16.0,512,6.67,AMOLED,120.0,50,2,Vivo,High,HD,Snapdragon 7 gen 3
8450000.0,8.0,256,6.67,"IPS LCD, 144Hz, HDR10+, 500 nits (typ), 650 nits (peak)",60.0,64,3,Xiaomi,High,HD,Snapdragon 865
34350000.0,16.0,1024,8.03,Foldable LTPO AMOLED E7,120.0,64,3,Vivo,Premium,2K,Snapdragon 8 gen 3
37490000.0,12.0,512,6.9,Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A18 Bionic
10450000.0,12.0,512,6.9,OLED,120.0,50,2,ZTE,High,HD,Dimensity 7300
3190000.0,6.0,128,6.7,PLS LCD,90.0,50,3,Samsung,Medium,HD,Snapdragon 680
5950000.0,12.0,512,6.7,OLED,120.0,50,3,OnePlus,Medium,HD,Dimensity 8100max
21100000.0,4.0,64,5.84,OLED,60.0,12,2,Xiaomi,Premium,HD,Helio p35
14450000.0,16.0,512,6.78,AMOLED,144.0,64,3,Asus,High,HD,Snapdragon 888
7150000.0,12.0,256,6.7,AMOLED,120.0,50,2,Nothing,Medium,HD,Dimensity 7200 pro
26550000.0,16.0,1024,6.3,Foldable LTPO2 OLED (màn chính) | LTPO2 OLED (màn phụ),120.0,50,4,Huawei,Premium,HD,Kirin 9020 8
26650000.0,16.0,1024,7.82,Màn hình trong: Foldable LTPO3 OLED | Màn hình ngoài: LTPO3 OLED,120.0,64,3,OPPO,Premium,2K,Snapdragon 8 gen 2
5750000.0,6.0,128,6.67,IPS LCD,120.0,64,4,Realme,Medium,HD,Snapdragon 765g
15990000.0,16.0,1024,6.67,AMOLED,144.0,50,3,Xiaomi,Premium,HD,Dimensity 9200
3850000.0,8.0,256,6.5,IPS LCD,90.0,48,3,Xiaomi,Medium,HD,Dimensity 700
12250000.0,12.0,512,6.8,AMOLED,120.0,50,3,Nubia,High,HD,Snapdragon 8 gen 2
36890000.0,16.0,512,7.82,Foldable LTPO3 Flexi-fluid AMOLED | Màn phụ: LTPO3 Super Fluid OLED,120.0,64,3,OnePlus,Premium,2K,Snapdragon 8 gen 2
15450000.0,16.0,512,6.67,OLED,144.0,108,3,Xiaomi,Premium,HD,Snapdragon 8 gen1
4950000.0,12.0,512,6.67,OLED,120.0,48,3,Xiaomi,Medium,FHD,Dimensity 8200
24490000.0,6.0,256,6.1,Super Retina XDR OLED,120.0,12,3,Apple,Premium,HD,A15 Bionic
3590000.0,8.0,256,6.78,AMOLED,120.0,100,1,Tecno,Medium,HD,G10 0
7650000.0,12.0,256,6.67,AMOLED,120.0,108,3,Infinix,Medium,HD,Dimensity 8050
