price,ram,internal_memory,screen_size,screen_tech,refresh_rate,camera_main_resolution,camera_count,brand,price_category,screen_resolution_k,chip_model
20950000.0,6.0,1024,6.7,Super Retina,120.0,12,3,Apple,Premium,HD,A15 Bionic
21450000.0,6.0,128,6.1,Super Retina XDR OLED,60.0,12,2,Apple,Premium,HD,A15 Bionic
24850000.0,6.0,1024,6.1,LTPO Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A16 Bionic
18650000.0,6.0,512,6.1,Super Retina XDR OLED,60.0,48,2,Apple,Premium,HD,A16 Bionic
22350000.0,6.0,512,6.7,Super Retina XDR OLED,60.0,48,2,Apple,Premium,HD,A16 Bionic
28999000.0,8.0,1024,6.1,LTPO Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A17 Bionic
25450000.0,8.0,1024,6.7,LTPO Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A17 Bionic
16990000.0,8.0,512,6.1,Super Retina XDR OLED,60.0,48,1,Apple,Premium,HD,A18 Bionic
20950000.0,8.0,512,6.1,Super Retina XDR OLED,60.0,48,2,Apple,Premium,HD,A18 Bionic
24950000.0,8.0,512,6.7,Super Retina XDR OLED,60.0,48,2,Apple,Premium,HD,A18 Bionic
27500000.0,8.0,1024,6.3,LTPO Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A18 Bionic
34800000.0,8.0,1024,6.9,LTPO Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A18 Bionic
3950000.0,3.0,32,5.5,IPS LCD,60.0,12,1,Apple,Medium,HD,A10 Bionic
12950000.0,8.0,512,6.1,Super Retina XDR OLED,60.0,48,1,Apple,High,HD,A18 Bionic
2390000.0,8.0,128,6.6,IPS LCD,90.0,50,1,Itel,Low,HD,Unisoc t606
2850000.0,4.0,128,6.6,IPS LCD,90.0,50,2,Itel,Low,HD,Dimensity 6080
2950000.0,8.0,256,6.78,AMOLED,60.0,50,2,Itel,Low,HD,Tiger t616 8
10250000.0,12.0,512,6.55,OLED,144.0,50,3,Meizu,High,HD,Snapdragon 8 gen 2
10450000.0,16.0,512,6.55,OLED,144.0,50,3,Meizu,High,HD,Snapdragon 8 gen 2
13650000.0,12.0,256,6.81,LTPO OLED,120.0,50,3,Meizu,High,FHD,Snapdragon 8 gen 2
11750000.0,12.0,512,6.55,AMOLED,120.0,200,3,Meizu,High,HD,Snapdragon 8 gen 3
9150000.0,16.0,512,6.78,LTPO OLED,144.0,50,2,Meizu,High,HD,Snapdragon 8 gen 2
17150000.0,16.0,1024,6.79,LTPO AMOLED,120.0,50,3,Meizu,Premium,HD,Snapdragon 8 gen 3
3250000.0,4.0,128,5.2,Super AMOLED,60.0,12,1,Meizu,Medium,HD,Helio p25
4450000.0,6.0,128,5.7,Super AMOLED,60.0,12,1,Meizu,Medium,FHD,Helio x30
12250000.0,8.0,256,6.6,P-OLED,144.0,50,2,Motorola,High,HD,Dimensity 7030
12950000.0,12.0,256,6.7,OLED,144.0,50,3,Motorola,High,HD,Snapdragon 8 gen 1
10350000.0,12.0,256,6.55,P-OLED,144.0,50,2,Motorola,High,HD,Dimensity 7030
9050000.0,12.0,512,6.7,OLED,144.0,50,3,Motorola,High,HD,Snapdragon 7 gen 3
16860000.0,8.0,512,6.67,OLED,165.0,50,3,Motorola,Premium,HD,Snapdragon 8 gen 2
10950000.0,12.0,256,6.7,OLED,144.0,50,3,Motorola,High,HD,Snapdragon 8 gen1
3790000.0,4.0,128,6.5,IPS LCD,60.0,50,2,Motorola,Medium,HD,Tiger t616 8
3950000.0,8.0,128,6.5,IPS LCD,120.0,50,2,Motorola,Medium,HD,Dimensity 7020
5850000.0,12.0,256,6.5,P-OLED,120.0,50,2,Motorola,Medium,HD,Snapdragon 695
4820000.0,4.0,128,6.5,IPS LCD,120.0,48,2,Motorola,Medium,HD,Snapdragon 480
7250000.0,6.0,256,6.6,LTPS LCD,120.0,50,2,Motorola,Medium,HD,Snapdragon 6 gen 1
12450000.0,12.0,128,6.7,OLED,165.0,50,3,Motorola,High,HD,Snapdragon 8 gen 2
13250000.0,12.0,256,6.9,Foldable LTPO AMOLED,144.0,64,2,Motorola,High,HD,Snapdragon 7 gen 1
18850000.0,12.0,512,6.9,Foldable LTPO AMOLED | AMOLED,165.0,13,2,Motorola,Premium,HD,Snapdragon 8 gen 1
19950000.0,12.0,512,6.6,P-OLED,144.0,50,3,Motorola,Premium,HD,Snapdragon 8 gen 1
