price_category,price,ram,internal_memory,screen_size,screen_tech,refresh_rate,camera_main_resolution,camera_count,brand,screen_resolution_k,chip_model
Medium,7950000.0,12.0,256,6.78,AMOLED,144.0,108,2,Infinix,HD,Dimensity 8300
Medium,7250000.0,12.0,256,6.67,AMOLED,120.0,108,3,Infinix,HD,Dimensity 8050
Medium,7650000.0,12.0,256,6.67,AMOLED,120.0,108,3,Infinix,HD,Dimensity 8050
Medium,6990000.0,12.0,256,6.78,AMOLED,144.0,108,3,Infinix,HD,Dimensity 8020
High,9490000.0,4.0,128,6.1,IPS LCD,60.0,12,1,Apple,HD,A13 Bionic
Medium,7990000.0,4.0,64,6.1,IPS LCD,60.0,12,1,Apple,HD,A13 Bionic
High,9990000.0,4.0,128,6.1,OLED,60.0,12,2,Apple,HD,A14 Bionic
Premium,27590000.0,6.0,256,6.7,OLED,60.0,12,3,Apple,HD,A14 Bionic
Premium,23490000.0,6.0,128,6.7,OLED,60.0,12,3,Apple,HD,A14 Bionic
Premium,24990000.0,6.0,128,6.1,OLED,60.0,12,3,Apple,HD,A14 Bionic
Medium,7990000.0,4.0,64,6.1,OLED,60.0,12,2,Apple,HD,A14 Bionic
High,14990000.0,4.0,256,6.1,Super Retina XDR OLED,60.0,12,2,Apple,HD,A15 Bionic
Premium,25500000.0,4.0,512,6.1,Super Retina XDR OLED,60.0,12,2,Apple,HD,A15 Bionic
Premium,24490000.0,6.0,256,6.1,Super Retina XDR OLED,120.0,12,3,Apple,HD,A15 Bionic
Premium,23990000.0,6.0,256,6.7,Super Retina XDR OLED,120.0,12,3,Apple,HD,A15 Bionic
Premium,22990000.0,6.0,128,6.7,Super Retina XDR OLED,120.0,12,3,Apple,HD,A15 Bionic
Premium,21990000.0,6.0,128,6.1,Super Retina XDR OLED,120.0,12,3,Apple,HD,A15 Bionic
High,11590000.0,4.0,128,6.1,Super Retina XDR OLED,60.0,12,2,Apple,HD,A15 Bionic
Premium,15990000.0,6.0,256,6.1,OLED,60.0,12,2,Apple,HD,A15 Bionic
Premium,19990000.0,6.0,256,6.7,Super Retina XDR OLED,60.0,12,2,Apple,HD,A15 Bionic
Premium,17990000.0,6.0,128,6.7,Super Retina XDR OLED,60.0,12,2,Apple,HD,A15 Bionic
Premium,24990000.0,6.0,256,6.1,Super Retina XDR OLED,120.0,48,3,Apple,HD,A16 Bionic
Premium,41790000.0,6.0,1024,6.7,Super Retina XDR OLED,120.0,48,3,Apple,HD,A16 Bionic
Premium,27990000.0,6.0,256,6.7,Super Retina XDR OLED,120.0,48,3,Apple,HD,A16 Bionic
Premium,25590000.0,6.0,128,6.7,Super Retina XDR OLED,120.0,48,3,Apple,HD,A16 Bionic
Premium,22990000.0,6.0,128,6.1,Super Retina XDR OLED,120.0,48,3,Apple,HD,A16 Bionic
High,12990000.0,6.0,128,6.1,OLED,60.0,12,2,Apple,HD,A15 Bionic
Premium,18990000.0,6.0,256,6.1,Super Retina XDR OLED,60.0,48,2,Apple,HD,A16 Bionic
Premium,22790000.0,6.0,256,6.7,Super Retina XDR OLED,60.0,48,2,Apple,HD,A16 Bionic
Premium,19490000.0,6.0,128,6.7,Super Retina XDR OLED,60.0,48,2,Apple,HD,A16 Bionic
Premium,30990000.0,8.0,512,6.7,Super Retina XDR OLED,120.0,48,3,Apple,HD,A17 Bionic
Premium,15790000.0,6.0,128,6.1,Super Retina XDR OLED,60.0,48,2,Apple,HD,A16 Bionic
Premium,22490000.0,12.0,256,6.1,Super Retina XDR OLED,60.0,48,2,Apple,HD,A18 Bionic
Premium,25890000.0,12.0,256,6.7,Super Retina XDR OLED,60.0,48,2,Apple,HD,A18 Bionic
Premium,29490000.0,12.0,512,6.7,Super Retina XDR OLED,60.0,48,2,Apple,HD,A18 Bionic
Premium,22490000.0,12.0,128,6.7,Super Retina XDR OLED,60.0,48,2,Apple,HD,A18 Bionic
Premium,39990000.0,12.0,1024,6.3,Super Retina XDR OLED,120.0,48,3,Apple,HD,A18 Bionic
Premium,28590000.0,12.0,256,6.3,Super Retina XDR OLED,120.0,48,3,Apple,HD,A18 Bionic
Premium,34690000.0,12.0,512,6.3,Super Retina XDR OLED,120.0,48,3,Apple,HD,A18 Bionic
Premium,42990000.0,12.0,1024,6.9,Super Retina XDR OLED,120.0,48,3,Apple,HD,A18 Bionic
Premium,37490000.0,12.0,512,6.9,Super Retina XDR OLED,120.0,48,3,Apple,HD,A18 Bionic
Premium,30990000.0,12.0,256,6.9,Super Retina XDR OLED,120.0,48,3,Apple,HD,A18 Bionic
Premium,25290000.0,12.0,128,6.3,Super Retina XDR OLED,120.0,48,3,Apple,HD,A18 Bionic
Premium,19190000.0,12.0,128,6.1,Super Retina XDR OLED,60.0,48,2,Apple,HD,A18 Bionic
Premium,19390000.0,12.0,256,6.1,Super Retina XDR,60.0,48,4,Apple,HD,A18 Bionic
Premium,25490000.0,12.0,512,6.1,Super Retina XDR,60.0,48,4,Apple,HD,A18 Bionic
Premium,16290000.0,12.0,128,6.1,Super Retina XDR,60.0,48,4,Apple,HD,A18 Bionic
High,9600000.0,4.0,256,6.1,Liquid Retina IPS LCD,60.0,12,2,Apple,HD,A13 Bionic
Premium,28550000.0,6.0,512,6.7,Super Retina XDR OLED,60.0,12,3,Apple,HD,A14 Bionic
Premium,17450000.0,4.0,512,6.1,Super Retina,60.0,12,2,Apple,HD,A15 Bionic
Premium,20950000.0,6.0,1024,6.7,Super Retina,120.0,12,3,Apple,HD,A15 Bionic
Premium,21450000.0,6.0,128,6.1,Super Retina XDR OLED,60.0,12,2,Apple,HD,A15 Bionic
Premium,24850000.0,6.0,1024,6.1,LTPO Super Retina XDR OLED,120.0,48,3,Apple,HD,A16 Bionic
Premium,18650000.0,6.0,512,6.1,Super Retina XDR OLED,60.0,48,2,Apple,HD,A16 Bionic
Premium,22350000.0,6.0,512,6.7,Super Retina XDR OLED,60.0,48,2,Apple,HD,A16 Bionic
Premium,28999000.0,8.0,1024,6.1,LTPO Super Retina XDR OLED,120.0,48,3,Apple,HD,A17 Bionic
Premium,25450000.0,8.0,1024,6.7,LTPO Super Retina XDR OLED,120.0,48,3,Apple,HD,A17 Bionic
Premium,16990000.0,8.0,512,6.1,Super Retina XDR OLED,60.0,48,1,Apple,HD,A18 Bionic
Premium,20950000.0,8.0,512,6.1,Super Retina XDR OLED,60.0,48,2,Apple,HD,A18 Bionic
Premium,24950000.0,8.0,512,6.7,Super Retina XDR OLED,60.0,48,2,Apple,HD,A18 Bionic
Premium,27500000.0,8.0,1024,6.3,LTPO Super Retina XDR OLED,120.0,48,3,Apple,HD,A18 Bionic
Premium,34800000.0,8.0,1024,6.9,LTPO Super Retina XDR OLED,120.0,48,3,Apple,HD,A18 Bionic
Medium,3950000.0,3.0,32,5.5,IPS LCD,60.0,12,1,Apple,HD,A10 Bionic
High,12950000.0,8.0,512,6.1,Super Retina XDR OLED,60.0,48,1,Apple,HD,A18 Bionic
Low,2390000.0,8.0,128,6.6,IPS LCD,90.0,50,1,Itel,HD,Unisoc t606
Low,2850000.0,4.0,128,6.6,IPS LCD,90.0,50,2,Itel,HD,Dimensity 6080
Low,2950000.0,8.0,256,6.78,AMOLED,60.0,50,2,Itel,HD,Tiger t616 8
High,10250000.0,12.0,512,6.55,OLED,144.0,50,3,Meizu,HD,Snapdragon 8 gen 2
High,10450000.0,16.0,512,6.55,OLED,144.0,50,3,Meizu,HD,Snapdragon 8 gen 2
High,13650000.0,12.0,256,6.81,LTPO OLED,120.0,50,3,Meizu,FHD,Snapdragon 8 gen 2
High,11750000.0,12.0,512,6.55,AMOLED,120.0,200,3,Meizu,HD,Snapdragon 8 gen 3
High,9150000.0,16.0,512,6.78,LTPO OLED,144.0,50,2,Meizu,HD,Snapdragon 8 gen 2
Premium,17150000.0,16.0,1024,6.79,LTPO AMOLED,120.0,50,3,Meizu,HD,Snapdragon 8 gen 3
Medium,3250000.0,4.0,128,5.2,Super AMOLED,60.0,12,1,Meizu,HD,Helio p25
