price,ram,internal_memory,screen_size,screen_tech,refresh_rate,camera_main_resolution,camera_count,brand,price_category,screen_resolution_k,chip_model,chip_model_encoded,brand_encoded,screen_tech_encoded,screen_resolution_k_encoded
2190000.0,4.0,64,6.67,IPS LCD,60.0,13,1,Tecno,Low,HD,Unisoc t615,9861511.041009463,5838548.660951902,4303207.424525562,8546529.176983478
2090000.0,4.0,64,6.67,IPS LCD,120.0,13,1,Tecno,Low,HD,Unisoc t615,9861511.041009463,5687740.724049872,4344292.7188585885,8622095.701029267
6990000.0,12.0,256,6.78,AMOLED,120.0,50,2,Vivo,Medium,HD,Snapdragon 6 gen 1,8708394.220006105,8719025.920084123,8814153.412615655,8514044.54111523
2890000.0,4.0,128,6.56,LCD,60.0,13,4,Vivo,Low,HD,Helio G85,6773027.713854554,8671286.616239592,7908581.530051579,8546529.176983478
3190000.0,4.0,128,6.56,LCD,90.0,13,4,Vivo,Medium,HD,T61 2,9610486.705723299,8857343.614908284,7936637.635440955,8622095.701029267
3190000.0,4.0,64,6.56,LCD,90.0,13,4,Vivo,Medium,HD,T61 2,9577153.372389965,8671286.616239592,7908581.530051579,8546529.176983478
2990000.0,4.0,64,6.74,LCD,60.0,13,4,Vivo,Low,HD,Unisoc t7225 8,9572391.46762806,8857343.614908284,7936637.635440955,8622095.701029267
3790000.0,6.0,128,6.74,LCD,60.0,13,4,Vivo,Medium,HD,Unisoc t7225 8,9534296.229532823,8893864.883280758,7705527.733964249,8557935.866096748
3190000.0,4.0,64,6.56,IPS LCD,90.0,50,2,Vivo,Medium,HD,Helio G85,6810816.778924034,8893864.883280758,4288959.5418210775,8557935.866096748
2890000.0,6.0,128,6.56,IPS LCD,90.0,50,4,Vivo,Low,HD,Helio G85,6801847.91632077,8558611.59654951,4272590.376194736,8478074.60955868
4590000.0,8.0,128,6.68,LCD,90.0,50,2,Vivo,Medium,HD,T61 2,9543820.039056633,8719025.920084123,8011484.8006882705,8514044.54111523
5090000.0,8.0,128,6.67,IPS LCD,60.0,50,2,Vivo,Medium,HD,Helio G85,6810816.778924034,8893864.883280758,4288959.5418210775,8557935.866096748
5790000.0,8.0,256,6.64,IPS LCD,90.0,50,2,Vivo,Medium,HD,Snapdragon 680,7671182.965299685,8893864.883280758,4288959.5418210775,8557935.866096748
31990000.0,16.0,512,6.73,AMOLED,120.0,200,4,Xiaomi,Premium,FHD,Snapdragon 8 e,15484716.1509921,7676774.994967286,8734039.109685032,19645905.391267832
21990000.0,12.0,256,6.36,CrystalRes AMOLED,120.0,50,3,Xiaomi,Premium,HD,Snapdragon 8 e,15389379.60042061,7546152.30567469,9861511.041009463,8557935.866096748
2390000.0,4.0,128,6.71,IPS LCD,90.0,8,1,Xiaomi,Low,HD,Helio G36,8607092.534174552,7546152.30567469,4288959.5418210775,8557935.866096748
7790000.0,8.0,256,6.67,AMOLED,120.0,200,3,Xiaomi,Medium,HD,Snapdragon 7,9168222.172149617,7872772.592798418,8814153.412615655,8514044.54111523
6290000.0,8.0,256,6.67,AMOLED,120.0,200,3,Xiaomi,Medium,HD,Helio G99ULTRA,9445919.12819042,7782985.257194361,8570011.200063622,8558835.587253692
